,titulo,empresa,presencialidad,jornada,experiencia,tipo_contrato,beneficios,salario_min,salario_max,localidad,provincia,comunidad,pais,categoria_empleo
3364,developer,talent search people,no especificado,jornada completa,1.0,indefinido,True,,,,,,España,programador
3365,developer,talent search people,no especificado,jornada completa,3.0,indefinido,True,,,,,,España,programador
3366,developer,Michael Page,hibrido,jornada completa,3.0,indefinido,False,45000.0,74000.0,,,,España,programador
3367,consultant,panel sistemas informaticos,remoto,jornada completa,3.0,indefinido,True,,,,,,España,otros
3368,data scientist,atraeclick,no especificado,jornada completa,1.0,indefinido,False,36000.0,36000.0,,,,España,data driven
3369,systems technician,the whiteam,no especificado,jornada completa,1.0,indefinido,False,,,,,,España,sistemas
3370,project manager,Michael Page,no especificado,jornada completa,5.0,indefinido,False,,,Barcelona,Barcelona,Cataluña,España,administracion
3371,qa engineer,Page Personnel,hibrido,jornada completa,3.0,indefinido,False,42000.0,74000.0,,,,España,administracion
3372,developer,talent search people,remoto,jornada completa,3.0,indefinido,False,,,,,,España,programador
3373,administrador/a azure 100 remoto,alcorce telecomunicaciones,remoto,jornada completa,1.0,indefinido,False,,,,,,España,otros
3374,qa engineer,Michael Page,no especificado,jornada completa,2.0,indefinido,False,,,Zaragoza,Zaragoza,Aragón,España,administracion
3375,ingeniero/a electronico,GVM,no especificado,jornada completa,3.0,indefinido,True,,,,,,España,otros
3376,systems technician,the whiteam,no especificado,jornada completa,1.0,indefinido,False,,,,,,España,sistemas
3377,systems technician,,no especificado,jornada completa,5.0,temporal,False,24000.0,24000.0,,,,España,sistemas
3378,developer,cib labs,remoto,jornada completa,3.0,indefinido,False,,,Valencia,Valencia,Comunidad Valenciana,España,programador
3379,developer,talent search people,no especificado,jornada completa,5.0,indefinido,True,,,,,,España,programador
3380,ingeniero de desarrollo c,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,otros
3381,cloud architect,Capgemini,no especificado,jornada completa,2.0,indefinido,True,39000.0,54000.0,Barcelona,Barcelona,Cataluña,España,sistemas
3382,developer,trs staffing solutions,remoto,jornada completa,3.0,indefinido,False,36000.0,42000.0,,,,España,programador
3383,consultant,grupo cmc,remoto,jornada completa,2.0,indefinido,False,36000.0,45000.0,,,,España,otros
3384,it technician,Capgemini,no especificado,jornada completa,3.0,indefinido,True,,,,,,España,sistemas
3385,administrador/a de virtualizacion,Capgemini,no especificado,jornada completa,3.0,indefinido,True,,,,,,España,otros
3386,tecnico telefonia cisco,Capgemini,no especificado,jornada completa,3.0,indefinido,True,,,,,,España,otros
3387,cloud engineering,grupo cmc,no especificado,jornada completa,2.0,indefinido,True,,,,,,España,sistemas
3388,support technician,frontiers,no especificado,jornada completa,1.0,indefinido,True,,,Madrid,Madrid,Comunidad de Madrid,España,sistemas
3389,analyst,frontiers,remoto,jornada completa,2.0,indefinido,False,,,,,,España,data driven
3390,analyst,Page Personnel,no especificado,jornada completa,1.0,indefinido,False,33000.0,39000.0,,,,España,data driven
3391,devops engineer,grupo cmc,remoto,jornada completa,1.0,indefinido,False,36000.0,42000.0,,,,España,data driven
3392,developer,Capgemini,no especificado,media jornada,,practicas,True,,,,,,España,programador
3393,systems administrator,grupo cmc,no especificado,jornada completa,3.0,indefinido,True,,,Madrid,Madrid,Comunidad de Madrid,España,sistemas
3394,it engineer,Adecco,no especificado,jornada completa,2.0,indefinido,False,30000.0,39000.0,Madrid,Madrid,Comunidad de Madrid,España,sistemas
3395,developer,elcactus,no especificado,jornada completa,3.0,indefinido,False,48000.0,54000.0,Madrid,Madrid,Comunidad de Madrid,España,programador
3396,tecnico/a aplicaciones fabricante,rdt,no especificado,jornada completa,2.0,indefinido,False,,,Amurrio,Álava,País Vasco,España,otros
3397,analyst,Michael Page,no especificado,jornada completa,2.0,indefinido,True,48000.0,54000.0,,,,España,data driven
